locus1	NC_007605.genome	1947	2061	3	67.51	0.522821	-1.74	"BNRF1"
window1	locus1	NC_007605.genome	1947	2061	-	3	120	67.51	-43.53	-21.31	-20.43	-0.87	1.43	-1.74	0.49	-0.02	0.522821
locus2	NC_007605.genome	5713	5832	2	50.83	0.990207	-2.03	"BNRF1"
window2	locus2	NC_007605.genome	5713	5832	+	2	120	50.83	-33.59	-19.47	-22.47	3.00	1.19	-2.03	0.58	2.20	0.990207
locus3	NC_007605.genome	6575	6766	2	79.17	0.999027	-3.45	"EBER-1"
window3	locus3	NC_007605.genome	6575	6693	-	2	120	69.17	-40.55	-29.78	-29.28	-0.50	1.22	-2.05	0.73	2.44	0.993945
window4	locus3	NC_007605.genome	6613	6732	+	2	120	79.17	-50.30	-42.25	-43.25	1.00	1.13	-1.68	0.84	0.72	0.833631
window5	locus3	NC_007605.genome	6613	6732	-	2	120	79.17	-48.45	-38.40	-39.40	1.00	1.09	-3.45	0.79	3.33	0.999027
window6	locus3	NC_007605.genome	6653	6766	+	2	120	75.00	-49.85	-41.11	-42.11	1.00	1.13	-1.97	0.82	1.81	0.978395
window7	locus3	NC_007605.genome	6653	6766	-	2	120	75.00	-39.16	-33.41	-35.16	1.75	1.07	-2.13	0.85	2.32	0.992297
locus4	NC_007605.genome	7343	8031	2	77.50	0.999984	-10.65	-
window8	locus4	NC_007605.genome	7343	7462	-	2	120	59.17	-31.95	-21.86	-21.11	-0.75	1.21	-1.44	0.68	0.80	0.852804
window9	locus4	NC_007605.genome	7383	7502	+	2	120	59.17	-31.70	-21.73	-26.10	4.37	1.04	-4.20	0.69	5.36	0.999984
window10	locus4	NC_007605.genome	7383	7502	-	2	120	59.17	-41.55	-34.10	-36.97	2.87	1.15	-5.53	0.82	3.65	0.999491
window11	locus4	NC_007605.genome	7423	7542	+	2	120	68.33	-33.45	-24.45	-26.45	2.00	1.12	-4.38	0.73	4.39	0.999888
window12	locus4	NC_007605.genome	7423	7542	-	2	120	68.33	-45.55	-40.65	-39.65	-1.00	1.23	-7.15	0.89	0.98	0.894001
window13	locus4	NC_007605.genome	7462	7582	+	2	120	74.17	-32.05	-24.22	-26.47	2.25	1.09	-4.69	0.76	3.17	0.998634
window14	locus4	NC_007605.genome	7462	7582	-	2	120	74.17	-49.60	-45.45	-45.70	0.25	1.14	-8.09	0.92	0.80	0.854344
window15	locus4	NC_007605.genome	7502	7622	+	2	120	75.83	-40.90	-36.46	-38.46	2.00	1.06	-7.09	0.89	0.85	0.866335
window16	locus4	NC_007605.genome	7502	7622	-	2	120	75.83	-54.80	-53.10	-54.60	1.50	1.10	-9.91	0.97	0.79	0.851788
window17	locus4	NC_007605.genome	7542	7662	+	2	120	75.83	-33.90	-29.07	-31.32	2.25	1.03	-5.12	0.86	2.50	0.994641
window18	locus4	NC_007605.genome	7542	7662	-	2	120	75.83	-48.10	-44.16	-45.91	1.75	1.08	-7.97	0.92	0.83	0.862176
window19	locus4	NC_007605.genome	7582	7702	+	2	120	70.00	-32.40	-25.52	-25.52	-0.00	1.04	-4.26	0.79	4.37	0.999883
window20	locus4	NC_007605.genome	7582	7702	-	2	120	70.00	-44.80	-40.60	-41.60	1.00	1.03	-7.27	0.91	0.89	0.875781
window21	locus4	NC_007605.genome	7622	7740	+	2	120	66.67	-45.25	-38.62	-43.12	4.50	1.10	-7.96	0.85	0.61	0.797754
window22	locus4	NC_007605.genome	7622	7740	-	2	120	66.67	-50.80	-42.45	-43.45	1.00	1.12	-9.51	0.84	0.31	0.683568
