locus1	hg18.chr11	93103215	93103287	6	59.81	0.819693	-1.70
window1	locus1	hg18.chr11	93103215	93103287	-	6	75	59.81	-14.44	-5.69	-5.92	0.22	1.29	-1.70	0.39	0.68	0.819693
locus2	hg18.chr11	93103350	93103493	6	76.77	0.968411	-2.04
window2	locus2	hg18.chr11	93103350	93103462	-	6	117	75.22	-30.47	-19.76	-19.68	-0.08	1.29	-1.52	0.65	0.85	0.865715
window3	locus2	hg18.chr11	93103387	93103490	-	6	105	74.47	-25.92	-18.47	-18.72	0.25	1.12	-1.47	0.71	1.26	0.937427
window4	locus2	hg18.chr11	93103391	93103493	-	6	105	76.77	-26.56	-18.38	-18.85	0.47	1.33	-2.04	0.69	1.63	0.968411
locus3	hg18.chr11	93103792	93103915	6	82.27	0.914876	-2.40
window5	locus3	hg18.chr11	93103792	93103904	-	6	117	80.70	-30.59	-21.31	-21.37	0.06	1.27	-2.40	0.70	1.10	0.914876
window6	locus3	hg18.chr11	93103815	93103915	-	6	106	82.27	-25.55	-17.72	-18.97	1.25	1.10	-1.77	0.69	0.26	0.657153
locus4	hg18.chr11	93104298	93104389	6	76.15	0.771915	-0.90
window7	locus4	hg18.chr11	93104298	93104389	-	6	107	76.15	-20.73	-17.72	-18.00	0.28	1.05	-0.90	0.85	0.53	0.771915
locus5	hg18.chr11	93105204	93105320	6	82.77	0.569349	-1.47
window8	locus5	hg18.chr11	93105204	93105320	-	6	120	82.77	-32.70	-24.86	-24.17	-0.69	1.27	-1.47	0.76	0.07	0.569349
locus6	hg18.chr11	93106254	93106416	6	82.78	0.989898	-2.94
window9	locus6	hg18.chr11	93106254	93106362	-	6	116	75.39	-25.73	-17.57	-16.77	-0.80	1.33	-2.41	0.68	2.19	0.989898
window10	locus6	hg18.chr11	93106287	93106402	-	6	119	82.78	-37.33	-25.38	-24.50	-0.88	1.33	-2.94	0.68	0.81	0.857395
window11	locus6	hg18.chr11	93106303	93106416	-	6	116	80.45	-33.17	-17.77	-17.25	-0.52	1.27	-2.33	0.54	0.48	0.753410
locus7	hg18.chr11	93107925	93108000	6	86.01	0.996688	-2.58
window12	locus7	hg18.chr11	93107925	93108000	+	6	76	86.01	-18.02	-13.71	-13.74	0.03	1.06	-2.12	0.76	0.01	0.538812
window13	locus7	hg18.chr11	93107925	93108000	-	6	76	86.01	-16.99	-16.25	-15.89	-0.36	1.24	-2.58	0.96	2.73	0.996688
